"","MSSubClass120","MSSubClass150","MSSubClass160","MSSubClass180","MSSubClass190","MSSubClass20","MSSubClass30","MSSubClass40","MSSubClass45","MSSubClass50","MSSubClass60","MSSubClass70","MSSubClass75","MSSubClass80","MSSubClass85","MSSubClass90","MSZoningC","MSZoningFV","MSZoningRH","MSZoningRL","MSZoningRM","LotFrontage","LotArea","StreetGrvl","StreetPave","AlleyGrvl","AlleyNone","AlleyPave","LotShapeIR1","LotShapeIR2","LotShapeIR3","LotShapeReg","LandContourBnk","LandContourHLS","LandContourLow","LandContourLvl","UtilitiesAllPub","UtilitiesNoSeWa","LotConfigCorner","LotConfigCulDSac","LotConfigFR2","LotConfigFR3","LotConfigInside","LandSlopeGtl","LandSlopeMod","LandSlopeSev","NeighborhoodBlmngtn","NeighborhoodBlueste","NeighborhoodBrDale","NeighborhoodBrkSide","NeighborhoodClearCr","NeighborhoodCollgCr","NeighborhoodCrawfor","NeighborhoodEdwards","NeighborhoodGilbert","NeighborhoodIDOTRR","NeighborhoodMeadowV","NeighborhoodMitchel","NeighborhoodNAmes","NeighborhoodNoRidge","NeighborhoodNPkVill","NeighborhoodNridgHt","NeighborhoodNWAmes","NeighborhoodOldTown","NeighborhoodSawyer","NeighborhoodSawyerW","NeighborhoodSomerst","NeighborhoodStoneBr","NeighborhoodSWISU","NeighborhoodTimber","NeighborhoodVeenker","Condition1Artery","Condition1Feedr","Condition1Norm","Condition1PosA","Condition1PosN","Condition1RRAe","Condition1RRAn","Condition1RRNe","Condition1RRNn","Condition2Artery","Condition2Feedr","Condition2Norm","Condition2PosA","Condition2PosN","Condition2RRAe","Condition2RRAn","Condition2RRNn","BldgType1Fam","BldgType2fmCon","BldgTypeDuplex","BldgTypeTwnhs","BldgTypeTwnhsE","HouseStyle1.5Fin","HouseStyle1.5Unf","HouseStyle1Story","HouseStyle2.5Fin","HouseStyle2.5Unf","HouseStyle2Story","HouseStyleSFoyer","HouseStyleSLvl","OverallQual1","OverallQual10","OverallQual2","OverallQual3","OverallQual4","OverallQual5","OverallQual6","OverallQual7","OverallQual8","OverallQual9","OverallCond1","OverallCond2","OverallCond3","OverallCond4","OverallCond5","OverallCond6","OverallCond7","OverallCond8","OverallCond9","YearBuilt","YearRemodAdd","RoofStyleFlat","RoofStyleGable","RoofStyleGambrel","RoofStyleHip","RoofStyleMansard","RoofStyleShed","RoofMatlClyTile","RoofMatlCompShg","RoofMatlMembran","RoofMatlMetal","RoofMatlRoll","RoofMatlTarGrv","RoofMatlWdShake","RoofMatlWdShngl","Exterior1stAsbShng","Exterior1stAsphShn","Exterior1stBrkComm","Exterior1stBrkFace","Exterior1stCBlock","Exterior1stCemntBd","Exterior1stHdBoard","Exterior1stImStucc","Exterior1stMetalSd","Exterior1stPlywood","Exterior1stStone","Exterior1stStucco","Exterior1stVinylSd","Exterior1stWdSdng","Exterior1stWdShing","Exterior2ndAsbShng","Exterior2ndAsphShn","Exterior2ndBrkCmn","Exterior2ndBrkFace","Exterior2ndCBlock","Exterior2ndCmentBd","Exterior2ndHdBoard","Exterior2ndImStucc","Exterior2ndMetalSd","Exterior2ndOther","Exterior2ndPlywood","Exterior2ndStone","Exterior2ndStucco","Exterior2ndVinylSd","Exterior2ndWdSdng","Exterior2ndWdShng","MasVnrTypeBrkCmn","MasVnrTypeBrkFace","MasVnrTypeNone","MasVnrTypeStone","MasVnrArea","ExterQual","ExterCond","FoundationBrkTil","FoundationCBlock","FoundationPConc","FoundationSlab","FoundationStone","FoundationWood","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingFloor","HeatingGasA","HeatingGasW","HeatingGrav","HeatingOthW","HeatingWall","HeatingQC","CentralAirN","CentralAirY","ElectricalFuseA","ElectricalFuseF","ElectricalFuseP","ElectricalMix","ElectricalSBrkr","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType2Types","GarageTypeAttchd","GarageTypeBasment","GarageTypeBuiltIn","GarageTypeCarPort","GarageTypeDetchd","GarageTypeNone","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDriveN","PavedDriveP","PavedDriveY","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeatureGar2","MiscFeatureNone","MiscFeatureOthr","MiscFeatureShed","MiscFeatureTenC","MiscVal","MoSold","YrSold","SaleTypeCOD","SaleTypeCon","SaleTypeConLD","SaleTypeConLI","SaleTypeConLw","SaleTypeCWD","SaleTypeNew","SaleTypeOth","SaleTypeWD","SaleConditionAbnorml","SaleConditionAdjLand","SaleConditionAlloca","SaleConditionFamily","SaleConditionNormal","SaleConditionPartial","SalePrice","TotalSF"
"1461",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,80,9.36074117264371,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,1961,1961,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.38629436111989,1.38629436111989,0,1,0,0,0,0,3,3,0.693147180559945,3,6.15060276844628,1.09861228866811,4.97673374242057,5.6021188208797,6.78332520060396,0,1,0,0,0,0,3,0,1,0,0,0,0,1,6.7990558620588,0,0,6.7990558620588,0,0,1,0,2,0.693147180559945,3,1.79175946922805,7,0,0,0,1,0,0,0,0,0,1961,1,1,730,3,3,0,0,1,4.94875989037817,0,0,0,4.79579054559674,0,0,1.38629436111989,0,1,0,0,0,0,6,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7.48380668766583
"1462",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,81,9.56577454647878,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0.693147180559945,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,1958,1958,0,0,0,0.693147180559945,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,4.69134788222914,1.38629436111989,1.38629436111989,0,1,0,0,0,0,3,3,0.693147180559945,5,6.82871207164168,0.693147180559945,0,6.00881318544259,7.1929342212158,0,1,0,0,0,0,3,0,1,0,0,0,0,1,7.1929342212158,0,0,7.1929342212158,0,0,1,1,3,0.693147180559945,4,1.94591014905531,7,0,0,0,1,0,0,0,0,0,1958,1,1,312,3,3,0,0,1,5.97635090929793,3.61091791264422,0,0,0,0,0,0,0.693147180559945,0,0,0,0,9.43356392009056,6,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7.88570539124302
"1463",0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,1,0,74,9.53466772862471,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,1,0,0,0,0,1997,1998,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.38629436111989,1.38629436111989,0,0,1,0,0,0,4,3,0.693147180559945,6,6.67456139181443,0.693147180559945,0,4.92725368515721,6.83410873881384,0,1,0,0,0,0,4,0,1,0,0,0,0,1,6.83410873881384,6.55393340402581,0,7.39633529380081,0,0,2,1,3,0.693147180559945,3,1.94591014905531,7,1,3,0,1,0,0,0,0,0,1997,3,2,482,3,3,0,0,1,5.36129216570943,3.55534806148941,0,0,0,0,0,1.38629436111989,0,1,0,0,0,0,3,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7.84698098213879
"1464",0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,1,0,78,9.20823816388431,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,1998,1998,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.693147180559945,0,0,3.04452243772342,1.38629436111989,1.38629436111989,0,0,1,0,0,0,3,3,0.693147180559945,6,6.40191719672719,0.693147180559945,0,5.78382518232974,6.83195356556585,0,1,0,0,0,0,5,0,1,0,0,0,0,1,6.83195356556585,6.5206211275587,0,7.38087903556412,0,0,2,1,3,0.693147180559945,4,2.07944154167984,7,1,4,0,1,0,0,0,0,0,1998,3,2,470,3,3,0,0,1,5.88887795833288,3.61091791264422,0,0,0,0,0,0,0,1,0,0,0,0,6,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7.83636976054512
"1465",0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,43,8.51839247199172,0,1,0,1,0,1,0,0,0,0,0.693147180559945,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,1,0,0,0,0,1992,1992,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.6094379124341,1.38629436111989,0,0,1,0,0,0,4,3,0.693147180559945,5,5.57594910314632,0.693147180559945,0,6.92559519711047,7.15539630189673,0,1,0,0,0,0,5,0,1,0,0,0,0,1,7.15539630189673,0,0,7.15539630189673,0,0,2,0,2,0.693147180559945,4,1.79175946922805,7,0,0,0,1,0,0,0,0,0,1992,2,2,506,3,3,0,0,1,0,4.4188406077966,0,0,4.97673374242057,0,0,0,0,1,0,0,0,0,1,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7.84815308619953
"1466",0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,1,0,75,9.21044036697652,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0.693147180559945,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,1,0,0,0,0,1993,1994,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.38629436111989,1.38629436111989,0,0,1,0,0,0,4,3,0.693147180559945,1,0,0.693147180559945,0,6.63856778916652,6.63856778916652,0,1,0,0,0,0,4,0,1,0,0,0,0,1,6.63856778916652,6.7945865808765,0,7.4121603349452,0,0,2,1,3,0.693147180559945,3,2.07944154167984,7,1,3,0,1,0,0,0,0,0,1993,3,2,440,3,3,0,0,1,5.06259503302697,4.44265125649032,0,0,0,0,0,0,0,1,0,0,0,0,4,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7.79110951061003
"1467",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.98481899587601,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,1992,2007,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.38629436111989,1.6094379124341,0,0,1,0,0,0,4,3,0.693147180559945,5,6.84161547647759,0.693147180559945,0,5.4553211153577,7.06390396147207,0,1,0,0,0,0,5,0,1,0,0,0,0,1,7.08002649992259,0,0,7.08002649992259,1,0,2,0,3,0.693147180559945,3,1.94591014905531,7,0,0,0,1,0,0,0,0,0,1992,3,2,420,3,3,0,0,1,6.18208490671663,3.09104245335832,0,0,0,0,0,1.6094379124341,0,0,0,0.693147180559945,0,6.21660610108486,3,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7.76472054477148
"1468",0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,1,0,63,9.03634406392822,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,1,0,0,0,0,1998,1998,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.38629436111989,1.38629436111989,0,0,1,0,0,0,4,3,0.693147180559945,1,0,0.693147180559945,0,6.67203294546107,6.67203294546107,0,1,0,0,0,0,4,0,1,0,0,0,0,1,6.67203294546107,6.51767127291227,0,7.2902928824466,0,0,2,1,3,0.693147180559945,3,2.07944154167984,7,1,4,0,1,0,0,0,0,0,1998,3,2,393,3,3,0,0,1,0,4.33073334028633,0,0,0,0,0,0,0,1,0,0,0,0,5,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7.72090525193678
"1469",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,85,9.22788555119193,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,1,0,0,0,0,1990,1990,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.38629436111989,1.38629436111989,0,0,1,0,0,0,4,3,1.6094379124341,6,6.45833828334479,0.693147180559945,0,6.49828214947643,7.1708884785125,0,1,0,0,0,0,4,0,1,0,0,0,0,1,7.20191631753163,0,0,7.20191631753163,1,0,1,1,2,0.693147180559945,4,1.79175946922805,7,1,1,0,1,0,0,0,0,0,1990,1,2,506,3,3,0,0,1,5.26269018890489,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7.87929148508227
"1470",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70,9.03610602536485,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0.693147180559945,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1970,1970,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,1,0,0,1.38629436111989,1.38629436111989,0,1,0,0,0,0,3,3,0.693147180559945,5,6.69084227741856,1.38629436111989,4.36944785246702,0,6.78332520060396,0,1,0,0,0,0,3,0,1,0,0,0,0,1,6.78332520060396,0,0,6.78332520060396,1,0,1,0,2,0.693147180559945,3,1.6094379124341,7,0,0,0,1,0,0,0,0,0,1970,3,2,525,3,3,0,0,1,5.48479693349065,0,0,0,0,0,0,1.38629436111989,0,1,0,0,0,0,4,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7.4759059693674
